Entity,Year,Coal - Prices
Northwest Europe marker price (BP),2019,60.8553
Northwest Europe marker price (BP),2020,50.1643
Northwest Europe marker price (BP),2021,121.6998
US Central Appalachian coal spot price index (BP),2001,50.1547
US Central Appalachian coal spot price index (BP),2002,33.1980
US Central Appalachian coal spot price index (BP),2003,38.5227
US Central Appalachian coal spot price index (BP),2004,64.9017
US Central Appalachian coal spot price index (BP),2005,70.1224
US Central Appalachian coal spot price index (BP),2006,57.8167
US Central Appalachian coal spot price index (BP),2007,49.7332
US Central Appalachian coal spot price index (BP),2008,117.4176
US Central Appalachian coal spot price index (BP),2009,60.7346
US Central Appalachian coal spot price index (BP),2010,67.8741
US Central Appalachian coal spot price index (BP),2011,84.7550
US Central Appalachian coal spot price index (BP),2012,67.2814
US Central Appalachian coal spot price index (BP),2013,69.7172
US Central Appalachian coal spot price index (BP),2014,67.0841
US Central Appalachian coal spot price index (BP),2015,51.5664
US Central Appalachian coal spot price index (BP),2016,51.4477
US Central Appalachian coal spot price index (BP),2017,63.8253
US Central Appalachian coal spot price index (BP),2018,72.8440
US Central Appalachian coal spot price index (BP),2019,57.1640
US Central Appalachian coal spot price index (BP),2020,42.7664
US Central Appalachian coal spot price index (BP),2021,68.5381
